customers_id;plans_id;start_date;status;customers_name;email;signup_date;devices_id;plans_name;data_limit;monthly_fee;device_name;os
2554;65;2025/01/16;Inactive;Jared Rodriguez;tyler98@example.com;2025/01/22;2111;idea;70;72;carry;Android
510;69;2025/02/14;Active;Carrie Fisher;danielmccarthy@example.com;2025/01/14;2532;source;63;70;until;iOS
3789;96;2025/01/05;Active;Michael Carter;hgriffin@example.net;2025/01/25;1621;deep;44;22;economy;Windows
2781;52;2025/02/14;Active;Arthur Fernandez;wreynolds@example.com;2025/01/23;2600;sport;91;52;number;iOS
1912;95;2025/01/27;Active;Brooke Jordan;pwhitaker@example.org;2025/02/16;2702;whatever;5;77;could;Windows
488;29;2025/01/03;Active;Daniel Cisneros;osanchez@example.org;2025/02/06;2865;set;3;41;friend;Windows
3213;90;2025/01/23;Inactive;Nicole Hernandez;xreyes@example.net;2025/02/09;287;owner;40;35;mention;iOS
2907;96;2025/01/04;Inactive;Michael Palmer;dcraig@example.org;2025/01/10;932;deep;44;22;trade;Linux
1117;57;2025/02/01;Active;Sharon Cantrell;sandra96@example.net;2025/01/01;2329;government;50;54;by;Windows
492;49;2025/02/09;Active;Terry Smith;rbranch@example.org;2025/01/06;259;name;91;82;environmental;iOS
2024;37;2025/02/21;Inactive;Melissa Reed;gjohnson@example.org;2025/01/09;1916;I;45;69;after;iOS
3778;8;2025/01/11;Active;Amber Fowler;xhenderson@example.net;2025/02/11;1209;include;32;16;the;Android
119;45;2025/01/25;Active;Anita Martinez;amy47@example.net;2025/02/01;562;onto;87;34;bill;iOS
1722;25;2025/02/09;Active;Marvin Thomas;dmorris@example.net;2025/02/16;111;mention;68;97;person;Windows
190;31;2025/02/15;Inactive;Melinda Franklin;rross@example.net;2025/01/12;2885;account;17;37;institution;iOS
2079;85;2025/01/25;Active;Jennifer Pena;ulewis@example.org;2025/01/30;382;way;81;54;minute;Windows
3888;33;2025/02/08;Active;Samuel Collins;josephramsey@example.net;2025/02/01;245;certainly;8;13;course;Windows
2494;86;2025/01/25;Active;Dr. Timothy Smith Jr.;darrell56@example.com;2025/01/07;1137;discussion;45;56;be;Linux
3596;56;2025/02/20;Active;Kathleen Jones;russellerica@example.org;2025/01/31;39;truth;86;52;foreign;iOS
2217;97;2025/01/07;Active;Luis Walsh;jessicaruiz@example.net;2025/01/06;2929;say;30;21;since;Android
1672;26;2025/02/14;Inactive;Megan Wells;kharris@example.com;2025/02/10;348;main;97;21;reach;Windows
3555;46;2025/02/15;Inactive;Shane Johnston;timothy99@example.com;2025/01/18;976;level;19;65;hear;Windows
1192;44;2025/02/17;Active;Sheila Mason;cameronchristine@example.com;2025/01/19;2982;natural;82;50;tonight;Android
2746;85;2025/01/11;Active;Randy Sharp;susanalexander@example.net;2025/01/17;366;way;81;54;once;Windows
2221;2;2025/01/25;Inactive;Timothy Fisher;lucasdickerson@example.org;2025/02/08;1032;economic;38;80;piece;Windows
3047;96;2025/01/29;Inactive;Lori English;fnavarro@example.com;2025/02/03;201;deep;44;22;Republican;Windows
3112;95;2025/01/26;Inactive;Evan Villa;michaelgonzalez@example.com;2025/02/10;542;whatever;5;77;time;Windows
778;10;2025/01/17;Inactive;Lauren Herman;jessicathomas@example.net;2025/02/12;1464;bank;84;98;me;Windows
2448;59;2025/01/03;Inactive;Julie Young;christopher78@example.net;2025/02/06;1090;music;37;12;now;Linux
2068;66;2025/01/31;Active;Gabriela Villanueva;jimmy45@example.com;2025/01/06;1634;production;43;57;pretty;Android
3643;99;2025/02/12;Inactive;Austin Martin;tina54@example.net;2025/02/12;2866;feel;69;74;industry;Linux
2277;24;2025/01/25;Active;James Johnson;murraypatricia@example.net;2025/02/21;2993;region;82;65;likely;Android
19;99;2025/01/09;Active;Tracey Pham;lawrenceangie@example.net;2025/02/03;2764;feel;69;74;west;iOS
812;47;2025/01/27;Inactive;Jonathon White;lindsayhughes@example.org;2025/01/12;731;position;76;12;kind;Windows
638;57;2025/02/08;Inactive;Tina Collins;pamelaedwards@example.com;2025/02/19;1398;government;50;54;investment;Linux
987;33;2025/01/14;Inactive;Carlos Ramsey;uvargas@example.net;2025/02/05;2870;certainly;8;13;ask;Linux
2931;14;2025/01/29;Active;Jason Hester;lcruz@example.org;2025/01/13;604;seem;50;92;woman;Android
3978;66;2025/02/11;Inactive;Peter Simon;rileyjenny@example.org;2025/02/04;2039;production;43;57;technology;Android
1786;14;2025/01/05;Inactive;Brianna Johnston;hayleyfernandez@example.net;2025/02/15;1301;seem;50;92;serve;Windows
508;76;2025/02/03;Inactive;Alexa Gray;woodsdaniel@example.net;2025/02/08;307;listen;15;36;buy;Android
1132;43;2025/01/25;Inactive;Tammy Green;stephenscathy@example.net;2025/02/21;832;candidate;92;12;evening;Android
3921;90;2025/02/21;Inactive;Shannon Reid;franciseric@example.net;2025/02/04;2218;owner;40;35;shake;Android
3227;34;2025/01/14;Inactive;Zachary Young;rebecca37@example.com;2025/01/03;2284;respond;76;46;worker;Windows
2432;36;2025/01/26;Inactive;David Mathis;ericahines@example.com;2025/02/12;84;style;27;80;pass;iOS
3536;50;2025/02/22;Inactive;Diana Shaw;howardaustin@example.net;2025/02/11;2955;imagine;23;41;debate;Windows
1722;75;2025/01/07;Active;Marvin Thomas;dmorris@example.net;2025/02/16;111;important;75;73;person;Windows
2223;60;2025/02/11;Active;Zachary Carter;fhanson@example.net;2025/02/17;1143;likely;37;24;east;Windows
1620;51;2025/02/05;Inactive;Mr. Gerald Hill Jr.;olivercharles@example.com;2025/01/15;2002;most;57;45;turn;iOS
3060;56;2025/02/05;Inactive;Benjamin Jordan;cruzchelsea@example.org;2025/02/15;2577;truth;86;52;recently;iOS
3893;6;2025/01/01;Active;Carl Cooper;sonyavasquez@example.net;2025/01/18;1225;among;70;87;movie;iOS
2488;48;2025/02/17;Active;Daniel Miles;brandonrhodes@example.com;2025/01/24;1845;television;20;14;store;Linux
998;79;2025/01/29;Inactive;Jason Velez;cabrerajason@example.org;2025/01/19;552;base;44;65;direction;Linux
1216;35;2025/01/13;Active;Spencer Gonzalez;bvargas@example.org;2025/02/03;491;treat;78;13;control;Android
3206;15;2025/01/19;Active;Sarah Hoffman;melissacurry@example.com;2025/02/01;2037;good;99;25;live;Android
1582;53;2025/01/17;Inactive;David Stephenson;edwardreynolds@example.net;2025/01/29;1168;first;32;67;sing;Windows
1979;31;2025/01/11;Inactive;Cynthia Hensley;jaynguyen@example.com;2025/02/14;930;account;17;37;arm;Linux
3034;66;2025/01/29;Inactive;Richard Anderson;meadowsgrace@example.net;2025/02/20;55;production;43;57;doctor;Linux
2264;19;2025/02/03;Inactive;Katherine Bishop;colemark@example.com;2025/01/30;964;wall;56;84;program;Windows
2354;84;2025/02/19;Active;Teresa Schneider;johnsonmichelle@example.net;2025/01/03;940;what;2;41;piece;Android
3453;33;2025/01/20;Active;John Anderson;alyssabutler@example.org;2025/01/22;656;certainly;8;13;thing;iOS
3682;46;2025/01/28;Inactive;Beth Taylor;banderson@example.org;2025/02/07;2750;level;19;65;able;Linux
2612;96;2025/01/09;Active;Julie Morgan;erinelliott@example.net;2025/02/04;44;deep;44;22;wear;iOS
808;84;2025/02/02;Active;Cindy Barber;melissa30@example.org;2025/02/03;80;what;2;41;after;Linux
1597;32;2025/02/03;Active;Christopher Gonzalez;cynthiajones@example.net;2025/02/13;2709;program;12;82;appear;iOS
2861;12;2025/02/18;Active;Adam Scott;zunigaemma@example.com;2025/01/22;2884;woman;70;24;purpose;Android
3576;87;2025/02/01;Active;Manuel Keller;daniel87@example.com;2025/01/24;232;might;23;26;group;iOS
759;100;2025/01/24;Active;Eric Johnson;westscott@example.net;2025/01/13;2032;theory;81;23;free;Linux
866;46;2025/01/13;Active;Jose Martin;david56@example.net;2025/01/29;733;level;19;65;hour;Windows
1266;33;2025/02/18;Active;Robert Lambert;taracarrillo@example.com;2025/01/13;1395;certainly;8;13;try;Linux
975;67;2025/02/20;Inactive;Mason Mcdonald;sherry59@example.net;2025/01/15;1267;mention;66;57;as;Linux
2601;99;2025/01/02;Active;Michael Webb;kaitlynle@example.org;2025/02/08;2201;feel;69;74;west;Windows
1298;53;2025/02/18;Active;Betty Christensen;hansencarol@example.com;2025/01/30;2092;first;32;67;stay;Windows
2836;20;2025/01/07;Inactive;Ashley Gibbs;richardpalmer@example.net;2025/02/16;1314;help;30;33;too;Android
3323;84;2025/02/07;Inactive;Joshua Mcmillan;michaelwallace@example.org;2025/01/28;1218;what;2;41;item;Android
270;32;2025/01/19;Inactive;Robert Roberts;meyerpatrick@example.org;2025/02/08;2849;program;12;82;international;Linux
785;44;2025/01/21;Inactive;Timothy Coleman;johnrodriguez@example.org;2025/01/29;994;natural;82;50;large;Linux
3328;46;2025/01/07;Inactive;James Hill;jessicaanderson@example.com;2025/01/03;2680;level;19;65;during;Linux
349;78;2025/01/30;Active;Christopher Baker;johnjuarez@example.net;2025/02/09;2206;former;35;42;mean;iOS
2665;75;2025/01/27;Active;Nicholas Richardson;eric71@example.org;2025/01/06;236;important;75;73;authority;iOS
960;10;2025/01/01;Active;Holly Black;vjoseph@example.org;2025/01/10;816;bank;84;98;fund;Windows
3250;77;2025/01/24;Active;Jacob Crawford;xmcfarland@example.net;2025/01/05;2888;color;31;55;Mrs;Linux
152;38;2025/02/11;Inactive;Melissa Levine;robin32@example.com;2025/01/24;2805;approach;44;59;good;Android
3124;70;2025/01/30;Active;Kaitlin Moore;francisco29@example.net;2025/02/01;85;environment;85;41;if;iOS
1763;74;2025/02/13;Inactive;Barbara Brooks;stephenskeith@example.org;2025/01/23;712;enter;69;21;career;iOS
1073;19;2025/01/03;Inactive;David Trevino;garrettdawn@example.net;2025/02/02;1701;wall;56;84;television;iOS
1642;61;2025/01/24;Inactive;Michael Gordon;angela46@example.net;2025/01/14;2402;commercial;3;15;staff;Android
1067;30;2025/01/28;Active;John Larsen;michaeljones@example.net;2025/01/09;1222;candidate;60;48;network;Windows
1071;67;2025/02/11;Inactive;Gary Deleon;bwalton@example.org;2025/01/05;716;mention;66;57;drug;Android
533;18;2025/02/13;Active;Sheila Sanchez;haleyedward@example.net;2025/01/12;405;ready;72;35;center;iOS
3199;66;2025/01/24;Active;George Love;pelliott@example.com;2025/01/24;2409;production;43;57;want;Windows
2228;95;2025/02/17;Inactive;Luke Graham;lisamorse@example.net;2025/02/15;993;whatever;5;77;move;iOS
880;18;2025/02/15;Inactive;Melissa Wilson;george47@example.org;2025/01/25;303;ready;72;35;table;Windows
811;36;2025/01/19;Active;Sarah Rangel;xwalker@example.net;2025/01/17;1712;style;27;80;involve;Android
1069;36;2025/02/03;Inactive;Chris Olson;jason08@example.org;2025/01/04;904;style;27;80;him;iOS
871;10;2025/01/16;Active;Julie Williams;baileyaguirre@example.org;2025/01/17;1534;bank;84;98;about;Windows
992;72;2025/01/03;Active;Michael Sanders;bakermichael@example.org;2025/01/02;696;manager;68;27;figure;Windows
1309;33;2025/01/26;Active;Dr. William Kelly;martinmichael@example.net;2025/01/16;1006;certainly;8;13;street;Linux
2303;10;2025/02/07;Active;Cathy Kelly;stephensnancy@example.net;2025/01/07;1752;bank;84;98;night;iOS
3695;83;2025/01/30;Active;Hannah Werner;dwhitehead@example.org;2025/01/05;2502;staff;1;58;create;Android
1820;47;2025/01/14;Inactive;Nathan Campbell;brownjoshua@example.net;2025/01/09;1216;position;76;12;cold;Android
1054;17;2025/02/16;Active;Mr. Samuel Walker;johnstanley@example.com;2025/01/19;1787;someone;23;48;oil;iOS
1126;34;2025/01/24;Active;Maria Williams;lambertjulie@example.com;2025/01/19;189;respond;76;46;pick;Linux
907;78;2025/02/08;Inactive;Stanley Glass;torreselizabeth@example.org;2025/01/22;1796;former;35;42;toward;Linux
1323;23;2025/01/22;Active;Andrew Lee;hayesluis@example.com;2025/01/12;1277;together;56;43;however;Android
2715;81;2025/01/02;Inactive;Jonathan Caldwell;edwardmorgan@example.org;2025/01/20;1862;suffer;31;44;also;Windows
1246;38;2025/02/17;Active;Michelle Stewart;sharon08@example.net;2025/02/17;1228;approach;44;59;painting;Android
3030;25;2025/02/03;Active;Kathleen Ryan;jasminfrancis@example.org;2025/02/16;857;mention;68;97;present;iOS
1573;52;2025/01/30;Active;Stephanie Moyer;cmcgee@example.org;2025/02/10;2943;sport;91;52;area;Linux
944;41;2025/02/15;Active;Andrew Green II;gomezdebbie@example.net;2025/02/18;2856;defense;19;34;but;Android
3140;57;2025/01/11;Inactive;Jessica Wiley MD;kimberlymartinez@example.org;2025/01/01;2941;government;50;54;hundred;Android
2794;23;2025/02/12;Active;Katie Johns;laura17@example.com;2025/01/07;980;together;56;43;attack;Linux
2521;34;2025/01/02;Inactive;Jennifer Warren;chudson@example.net;2025/01/30;2971;respond;76;46;white;Android
1037;76;2025/02/08;Active;Jeffrey Perez;pamela74@example.org;2025/01/08;2236;listen;15;36;contain;iOS
2302;32;2025/01/01;Active;Paul Navarro;williamsabigail@example.org;2025/01/24;931;program;12;82;pass;Android
1564;25;2025/02/08;Active;Lori Arnold;brandy15@example.org;2025/01/14;2915;mention;68;97;hold;Windows
2960;31;2025/01/11;Active;Diane Johnson;jeremymolina@example.net;2025/01/10;4;account;17;37;produce;Linux
2891;72;2025/01/06;Inactive;Chad Wright;michelebailey@example.org;2025/01/25;1409;manager;68;27;front;Linux
240;39;2025/01/08;Active;Miss Cassandra Day MD;jerryescobar@example.com;2025/02/18;1134;sound;22;72;commercial;iOS
2827;21;2025/01/28;Inactive;Elizabeth Lewis;moranchristina@example.org;2025/01/18;2543;direction;23;23;interesting;Android
2716;66;2025/01/18;Active;Caleb Gomez;michelle14@example.net;2025/01/30;2521;production;43;57;remain;Android
2122;78;2025/02/09;Active;Chelsea Schneider;richard41@example.net;2025/01/29;178;former;35;42;travel;iOS
3945;56;2025/02/07;Active;Yvette Glass;michael25@example.org;2025/02/07;1229;truth;86;52;right;Linux
495;91;2025/01/16;Inactive;Adam Martinez;montoyawhitney@example.net;2025/02/12;2108;long;68;22;hold;Linux
3353;31;2025/01/26;Active;John Leach;ebyrd@example.net;2025/02/03;2883;account;17;37;message;Linux
1818;54;2025/02/12;Active;Stephanie Pacheco;sarahallen@example.net;2025/01/25;175;agreement;90;20;fear;iOS
3827;62;2025/01/20;Inactive;Timothy Bates MD;ocasey@example.org;2025/02/05;716;summer;9;38;drug;Android
2605;19;2025/02/14;Inactive;Cynthia Newman;connie33@example.org;2025/02/07;1487;wall;56;84;about;iOS
3193;23;2025/02/21;Inactive;Sierra Blair MD;qpowell@example.com;2025/02/01;2647;together;56;43;keep;Windows
1674;13;2025/01/13;Inactive;Sandra Castro;wileydouglas@example.org;2025/01/31;32;listen;31;86;stock;iOS
3720;76;2025/02/02;Inactive;Thomas Crawford;lawrenceshawn@example.com;2025/02/11;15;listen;15;36;media;iOS
220;25;2025/02/20;Active;Lindsay Lopez;carol05@example.org;2025/01/03;1533;mention;68;97;clearly;Windows
1028;15;2025/01/01;Active;Barbara Jones;shepherdcarmen@example.org;2025/01/15;2353;good;99;25;product;Android
1839;55;2025/01/16;Inactive;David Bowers;johncook@example.net;2025/01/07;2243;design;86;22;join;Windows
1496;35;2025/02/14;Inactive;Mark Mcclure;michaelmcdonald@example.com;2025/01/01;504;treat;78;13;growth;Android
636;3;2025/01/04;Inactive;Trevor Torres;rcooper@example.net;2025/01/20;2501;address;37;20;inside;Linux
1175;82;2025/01/15;Active;Amy Delgado;kimberly78@example.net;2025/01/11;547;herself;92;23;boy;Linux
114;47;2025/01/08;Active;Martin Farley;powerslauren@example.net;2025/02/16;2826;position;76;12;front;Windows
911;47;2025/01/11;Inactive;Stephen Klein;dawn80@example.org;2025/01/09;2991;position;76;12;play;Windows
2753;33;2025/02/15;Inactive;Karen Barrett;lcastillo@example.com;2025/02/12;291;certainly;8;13;indeed;iOS
3322;17;2025/02/10;Inactive;David Hernandez;millerdiana@example.org;2025/01/27;1595;someone;23;48;fish;Linux
185;23;2025/01/19;Active;Cynthia Carroll;townsenddominique@example.net;2025/02/13;136;together;56;43;somebody;iOS
1539;21;2025/01/22;Active;Robert Chambers;tara74@example.com;2025/02/14;959;direction;23;23;visit;Linux
888;46;2025/02/01;Inactive;Nicholas Jones;masseyjasmine@example.com;2025/01/10;2880;level;19;65;response;Windows
321;35;2025/01/17;Inactive;Michael Bennett;russelldylan@example.org;2025/01/26;1003;treat;78;13;whom;Android
764;6;2025/01/05;Active;Kimberly Sanders;longdarren@example.net;2025/02/10;2322;among;70;87;director;Windows
358;30;2025/02/13;Active;Jasmine Rush;jonathanharper@example.com;2025/01/16;511;candidate;60;48;born;Android
1413;46;2025/02/06;Active;Tina Rice;buchananerin@example.net;2025/01/16;307;level;19;65;buy;Android
880;59;2025/01/28;Inactive;Melissa Wilson;george47@example.org;2025/01/25;303;music;37;12;table;Windows
665;78;2025/01/10;Inactive;April Palmer;allenalexis@example.org;2025/02/15;900;former;35;42;worry;Windows
3096;48;2025/02/05;Active;Sandra Harmon;william23@example.org;2025/02/07;8;television;20;14;but;Windows
261;56;2025/01/30;Active;Tracey Fleming;rachel40@example.org;2025/01/29;351;truth;86;52;within;iOS
3221;9;2025/02/03;Active;Daniel Mcknight;kingcarol@example.org;2025/01/11;110;most;11;69;however;Windows
1497;80;2025/01/03;Inactive;Courtney Herrera;benjamin80@example.com;2025/01/21;2442;purpose;44;71;across;Android
967;41;2025/01/05;Inactive;April Nelson;morenomegan@example.org;2025/01/07;463;defense;19;34;not;Linux
1040;40;2025/01/01;Active;Erin Levine;rodgerspatty@example.org;2025/02/03;2968;writer;84;28;outside;Windows
666;55;2025/01/03;Inactive;Miranda Collins;jenniferfoster@example.com;2025/02/20;2330;design;86;22;same;Windows
403;42;2025/01/13;Active;Stephen Scott;hillnathan@example.com;2025/01/31;999;television;26;20;purpose;Linux
3042;16;2025/02/05;Inactive;Ryan Knox;robertwalker@example.org;2025/01/23;473;opportunity;50;77;stage;iOS
1776;33;2025/01/11;Active;John Hart;iwallace@example.org;2025/01/08;599;certainly;8;13;name;Android
1230;90;2025/01/07;Inactive;Martin Roberts;khenry@example.net;2025/02/19;2697;owner;40;35;write;Windows
3171;47;2025/01/29;Active;Meagan Thompson;collinwelch@example.org;2025/01/02;1018;position;76;12;trouble;iOS
609;12;2025/02/16;Active;Scott Murphy;catherine48@example.com;2025/02/15;1946;woman;70;24;body;iOS
973;85;2025/02/08;Active;Danielle Stewart;bradfordwilliam@example.org;2025/01/09;1589;way;81;54;wish;iOS
664;84;2025/02/01;Active;Yesenia Solomon;benjamin31@example.net;2025/02/08;905;what;2;41;write;Android
2698;4;2025/01/24;Inactive;Benjamin Rose;rbrown@example.org;2025/01/01;145;enjoy;94;56;speak;Windows
2671;68;2025/01/31;Active;Glenn Schmidt;sloanchristine@example.net;2025/02/03;127;politics;58;93;key;Android
1271;46;2025/02/20;Inactive;Nina Day;nicholasross@example.net;2025/02/05;908;level;19;65;more;Android
780;86;2025/01/14;Inactive;Nancy Owens;virginiapowell@example.net;2025/01/25;869;discussion;45;56;idea;iOS
3980;21;2025/01/15;Active;William Washington;joel40@example.com;2025/01/01;2766;direction;23;23;police;Linux
99;58;2025/01/01;Active;Rebecca Jackson;allisonschmidt@example.org;2025/01/05;2861;nor;26;41;station;Windows
1585;38;2025/02/21;Inactive;Richard Lyons;sherrywang@example.org;2025/01/23;2721;approach;44;59;by;Android
2211;2;2025/01/24;Active;David Summers;floydjennifer@example.com;2025/01/19;2682;economic;38;80;trouble;Windows
2079;62;2025/02/03;Inactive;Jennifer Pena;ulewis@example.org;2025/01/30;382;summer;9;38;minute;Windows
126;18;2025/02/19;Inactive;Timothy Johnson;jacksonangela@example.com;2025/01/23;2071;ready;72;35;training;Linux
1946;10;2025/02/01;Active;James Smith;dstephens@example.org;2025/01/14;2237;bank;84;98;appear;Linux
2061;23;2025/02/17;Active;Wanda Henderson;andrea71@example.net;2025/01/22;2293;together;56;43;wear;Windows
2289;43;2025/02/11;Inactive;Emily Hebert;arroyomelissa@example.org;2025/02/01;2190;candidate;92;12;later;Linux
2468;44;2025/02/09;Inactive;Ashley Sanchez;vazquezdonald@example.net;2025/02/12;100;natural;82;50;standard;Android
2455;53;2025/01/26;Active;Larry Porter;hsmith@example.com;2025/01/10;823;first;32;67;then;Android
3781;76;2025/02/14;Inactive;Kevin Haley MD;johnsonjoan@example.org;2025/02/08;690;listen;15;36;hit;iOS
1978;73;2025/01/12;Inactive;James Lawson;robinsonchristopher@example.org;2025/02/15;469;apply;36;61;carry;iOS
3950;77;2025/01/19;Active;Scott Thomas;pbaird@example.org;2025/01/12;2570;color;31;55;success;iOS
202;15;2025/02/08;Inactive;Christian Collins;xcontreras@example.net;2025/02/12;2013;good;99;25;think;iOS
3847;97;2025/01/20;Active;Joseph Lopez;charles49@example.com;2025/01/02;2619;say;30;21;interesting;Android
2735;17;2025/01/31;Inactive;Patricia Hawkins;smithdouglas@example.net;2025/01/09;2051;someone;23;48;week;iOS
3272;61;2025/01/17;Active;Robert Moore;jodi17@example.org;2025/02/20;253;commercial;3;15;well;Linux
1053;73;2025/01/16;Active;Sierra Shea;plara@example.com;2025/01/03;525;apply;36;61;away;Android
3162;21;2025/01/13;Inactive;James Willis;whitefelicia@example.net;2025/01/05;25;direction;23;23;others;iOS
284;2;2025/02/11;Active;Carolyn Mclaughlin;hdonaldson@example.org;2025/01/19;2315;economic;38;80;bag;Linux
3887;3;2025/01/14;Active;Stacey Young;bwillis@example.com;2025/01/14;1182;address;37;20;western;Linux
2146;56;2025/01/02;Active;Michael Coleman;matthewharris@example.org;2025/01/10;278;truth;86;52;live;iOS
2227;99;2025/01/18;Inactive;Bianca Richmond;ili@example.net;2025/01/06;1067;feel;69;74;cause;iOS
3437;39;2025/01/29;Inactive;Sherry Mckinney;robertmcdowell@example.com;2025/01/17;1171;sound;22;72;send;Linux
3481;59;2025/01/14;Inactive;Dawn Weber;framsey@example.com;2025/02/01;2032;music;37;12;free;Linux
3825;22;2025/02/03;Active;Jamie Hughes MD;nsellers@example.org;2025/01/19;1018;cup;24;97;trouble;iOS
2298;35;2025/01/07;Active;Darlene Kirk;wyattjennifer@example.net;2025/02/12;2338;treat;78;13;soon;Windows
2014;94;2025/02/11;Inactive;Timothy Chapman;connorgrant@example.com;2025/02/13;1264;outside;72;44;many;Windows
403;20;2025/02/02;Inactive;Stephen Scott;hillnathan@example.com;2025/01/31;999;help;30;33;purpose;Linux
